month,date,race_name,url,distance_elevation_raw,distance_km,elevation_m,price,town,province,status
MARÇ,22/03/2026,Cursa dels Colls,https://www.cursadelscolls.cat/,15km D+500m,15,500,,Vilanova i la Geltrú,BARCELONA,Active
MARÇ,22/03/2026,Cursa dels Colls,https://www.cursadelscolls.cat/,"8,5km D+200m",8.5,200,,Vilanova i la Geltrú,BARCELONA,Active
MARÇ,22/03/2026,Sant Mateu Xtrail,https://misports.cat/curses/sant-mateu-xtrail/,25km D+1350m,25,1350,,Premià de Dalt,BARCELONA,Active
MARÇ,22/03/2026,Sant Mateu Xtrail,https://misports.cat/curses/sant-mateu-xtrail/,15km D+850m,15,850,,Premià de Dalt,BARCELONA,Active
MARÇ,22/03/2026,Sant Mateu Xtrail,https://misports.cat/curses/sant-mateu-xtrail/,10km D+600m,10,600,,Premià de Dalt,BARCELONA,Active
MARÇ,22/03/2026,Embarrancada,https://www.instagram.com/embarrancadanargo/,10km D+500m,10,500,,Coll de Nargó,LLEIDA,Active
MARÇ,22/03/2026,Cursa Bràfim Ermita de Loreto,https://cursabrafim.cat/,22km D+576m,22,576,,Bràfim,TARRAGONA,Active
MARÇ,22/03/2026,Cursa Bràfim Ermita de Loreto,https://cursabrafim.cat/,13km D+322m,13,322,,Bràfim,TARRAGONA,Active
MARÇ,22/03/2026,Cursa Bràfim Ermita de Loreto,https://cursabrafim.cat/,7km D+117m,7,117,,Bràfim,TARRAGONA,Active
MARÇ,22/03/2026,Trail Les Peülles,https://www.peullesdelmontsec.com/11a-marxa-trail-les-peulles/,32km D+961m,32,961,,Les Avellanes,LLEIDA,Active
MARÇ,22/03/2026,Trail Les Peülles,https://www.peullesdelmontsec.com/11a-marxa-trail-les-peulles/,14km D+346m,14,346,,Les Avellanes,LLEIDA,Active
MARÇ,22/03/2026,La Suada,https://curses.cat/lasuada2026/,15km D+500m,15,500,,L'Agullana,GIRONA,Active
MARÇ,22/03/2026,La Paranormal,https://inscripcions.cat/laparanormal2025_2/,15km,15,,,La Llagosta,GIRONA,Active
MARÇ,22/03/2026,La Paranormal,https://inscripcions.cat/laparanormal2025_2/,7km,7,,,La Llagosta,GIRONA,Active
MARÇ,28/03/2026,Correpoble,https://www.correpoble.cat/,10km D+110m,10,110,,Santa Cristina d'Aro,GIRONA,Active
MARÇ,29/03/2026,Trail Vallforners,https://www.traildevallforners.es/,26km D+1700m,26,1700,,Cànoves i Samalús,BARCELONA,Active
MARÇ,29/03/2026,Trail Vallforners,https://www.traildevallforners.es/,14km D+750m,14,750,,Cànoves i Samalús,BARCELONA,Active
MARÇ,29/03/2026,L'Encantada de Font-rubí,https://encantadadefontrubi.blogspot.com/,25km D+700m,25,700,,Font-rubí,BARCELONA,Active
MARÇ,29/03/2026,L'Encantada de Font-rubí,https://encantadadefontrubi.blogspot.com/,12km D+240m,12,240,,Font-rubí,BARCELONA,Active
MARÇ,29/03/2026,Bacanard Trail,https://www.bacanardtrail.com/,38km D+1900m,38,1900,40€,Begur,GIRONA,Active
MARÇ,29/03/2026,Bacanard Trail,https://www.bacanardtrail.com/,20km D+1000m,20,1000,25€,Begur,GIRONA,Active
MARÇ,29/03/2026,Bacanard Trail,https://www.bacanardtrail.com/,"13,5km D+600m",13.5,600,15€,Begur,GIRONA,Active
MARÇ,29/03/2026,Camins de Fusta,https://caminsdefusta.wordpress.com/,21km D+850m,21,850,24€,Sant Guim de Freixenet,LLEIDA,Active
MARÇ,29/03/2026,Camins de Fusta,https://caminsdefusta.wordpress.com/,12km D+450m,12,450,21€,Sant Guim de Freixenet,LLEIDA,Active
MARÇ,29/03/2026,Arbolí Trail,https://webtretzesports.wixsite.com/arbolitrail,"13,5km D+566m",13.5,566,,Arbolí,TARRAGONA,Active
MARÇ,,"Trail ""El Mirador""",https://pladelafont.ddl.net/actualitat/altres-publicacions/iv-trail-el-mirador-per-afall-1,15km,15,,,Pla de la Font,LLEIDA,TBD
MARÇ,,"Trail ""El Mirador""",https://pladelafont.ddl.net/actualitat/altres-publicacions/iv-trail-el-mirador-per-afall-1,7km,7,,,Pla de la Font,LLEIDA,TBD
MARÇ,,Correbocs,https://www.instagram.com/CORREBOCS,,,,,Ordal,BARCELONA,Cancelled
MARÇ,,Cursa Camí dels Íbers,http://www.elsibers.cat/,42km D+2200m,42,2200,,La Roca del Vallès,BARCELONA,Cancelled
MARÇ,,Cursa Camí dels Íbers,http://www.elsibers.cat/,22km D+980m,22,980,,La Roca del Vallès,BARCELONA,Cancelled
MARÇ,,Cursa Camí dels Íbers,http://www.elsibers.cat/,"12,6km D+530m",12.6,530,,La Roca del Vallès,BARCELONA,Cancelled
MARÇ,,Oli Trail,https://www.olitrail.com/,,,,,Olesa de Montserrat,BARCELONA,Cancelled
ABRIL,17-19/04/2026,Costa Brava Stage Run,http://cbsr.run/,120km D+4700m,120,4700,SOLD OUT,Blanes,GIRONA,Active
ABRIL,17-19/04/2026,Costa Brava Stage Run,http://cbsr.run/,80km D+3600m,80,3600,SOLD OUT,Blanes,GIRONA,Active
ABRIL,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,25km D+1600m,25,1600,,Peramola,LLEIDA,Active
ABRIL,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,10km D+610m,10,610,,Peramola,LLEIDA,Active
ABRIL,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,5km D+260m,5,260,,Peramola,LLEIDA,Active
ABRIL,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,21km D+1395m,21,1395,,Mas de Barberans,TARRAGONA,Active
ABRIL,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,"14,5km D+800m",14.5,800,,Mas de Barberans,TARRAGONA,Active
ABRIL,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,"9,5km D+460m",9.5,460,,Mas de Barberans,TARRAGONA,Active
ABRIL,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,35km D+600m,35,600,,Torroella de Montgrí,GIRONA,Active
ABRIL,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,22km D+750m,22,750,,Torroella de Montgrí,GIRONA,Active
ABRIL,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,13km D+450m,13,450,,Torroella de Montgrí,GIRONA,Active
ABRIL,11/04/2026,Ultra Montseny,https://www.ultramontseny.com/,70km D+4110m,70,4110,,Viladrau,BARCELONA,Active
ABRIL,11/04/2026,Ultra Montseny,https://www.ultramontseny.com/,34km D+2407m,34,2407,,Montseny,BARCELONA,Active
ABRIL,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,100km D+6600m,100,6600,,Àger,LLEIDA,Active
ABRIL,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,45km D+2850m,45,2850,,Àger,LLEIDA,Active
ABRIL,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,22km D+1400m,22,1400,,Àger,LLEIDA,Active
ABRIL,11/04/2026,Trail del Cèrvol,https://www.instagram.com/traildelcervol/,"24,6km D+870m",24.6,870,,Sant Sadurní d'Anoia,BARCELONA,Active
ABRIL,11/04/2026,Trail del Cèrvol,https://www.instagram.com/traildelcervol/,13km D+330m,13,330,,Sant Sadurní d'Anoia,BARCELONA,Active
ABRIL,11/04/2026,Sobrepuny Trail VERTICAL,https://www.sobrepunytrail.cat/,"3,5km D+800m",3.5,800,,La Nou del Berguedà,BARCELONA,Active
ABRIL,12/04/2026,Sobrepuny Trail,https://www.sobrepunytrail.cat/,37km D+2400m,37,2400,,La Nou del Berguedà,BARCELONA,Active
ABRIL,12/04/2026,Sobrepuny Trail,https://www.sobrepunytrail.cat/,21km D+1500m,21,1500,,La Nou del Berguedà,BARCELONA,Active
ABRIL,12/04/2026,Sobrepuny Trail,https://www.sobrepunytrail.cat/,12km D+1000m,12,1000,,La Nou del Berguedà,BARCELONA,Active
ABRIL,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,22km D+832m,22,832,,Òrrius,BARCELONA,Active
ABRIL,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,15km D+624m,15,624,,Òrrius,BARCELONA,Active
ABRIL,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,10km D+483m,10,483,,Òrrius,BARCELONA,Active
ABRIL,12/04/2026,Rebentaesparedenyes,https://rebentaespardenyes.wordpress.com/,"21,5km",21.5,,,La Ràpita,BARCELONA,Active
ABRIL,12/04/2026,Rebentaesparedenyes,https://rebentaespardenyes.wordpress.com/,"10,5km",10.5,,,La Ràpita,BARCELONA,Active
ABRIL,12/04/2026,Trail Roda de Berà,https://trailrodadebera.webnode.cat/,"13,4km D+269m",13.4,269,,Roda de Berà,TARRAGONA,Active
ABRIL,12/04/2026,Trail Roda de Berà,https://trailrodadebera.webnode.cat/,"4,8km D+33m",4.8,33,,Roda de Berà,TARRAGONA,Active
ABRIL,12/04/2026,Cursa de la Batalla,https://sportmaniacs.com/es/services/inscription/2ordf-cursa-de-la-batalla-dels-prats-de-rei#contact,16km,16,,,Prats de Rei,BARCELONA,Active
ABRIL,12/04/2026,Cursa de la Batalla,https://sportmaniacs.com/es/services/inscription/2ordf-cursa-de-la-batalla-dels-prats-de-rei#contact,8km,8,,,Prats de Rei,BARCELONA,Active
ABRIL,18/04/2026,Oncodines Trail,https://www.oncodinestrail.cat/,100km D+2653m,100,2653,,Sant Feliu de Codines,BARCELONA,Active
ABRIL,18/04/2026,Cursa Roca Negra,http://rocanegra.cat/,21km D+1300m,21,1300,,Sant Boi de Llobregat,BARCELONA,Active
ABRIL,18/04/2026,Cursa Roca Negra,http://rocanegra.cat/,13km D+700m,13,700,,Sant Boi de Llobregat,BARCELONA,Active
ABRIL,18/04/2026,Pels Camins dels Matxos,https://matxos.cat/,"61,8km D+3450m",61.8,3450,,Torelló,BARCELONA,Active
ABRIL,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,64km D+3000m,64,3000,,Prades,TARRAGONA,Active
ABRIL,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,44km D+1744m,44,1744,,Prades,TARRAGONA,Active
ABRIL,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,23km D+969m,23,969,,Prades,TARRAGONA,Active
ABRIL,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,11km D+513m,11,513,,Prades,TARRAGONA,Active
ABRIL,18/04/2026,Engatats Trail,https://www.curses.cat/engatatstrail2026/,12km,12,,,Sant Jordi Desvalls,GIRONA,Active
ABRIL,19/04/2026,Vilatrail,https://www.vilatrail.com/,21km D+1100m,21,1100,,Vilassar de Dalt,BARCELONA,Active
ABRIL,19/04/2026,Vilatrail,https://www.vilatrail.com/,12km D+675m,12,675,,Vilassar de Dalt,BARCELONA,Active
ABRIL,19/04/2026,Cursa de les Roques,https://aecaranordblog.wordpress.com/,"21,5km D+1450m",21.5,1450,,Horta de Sant Joan,TARRAGONA,Active
ABRIL,19/04/2026,Cursa de les Roques,https://aecaranordblog.wordpress.com/,16km D+850m,16,850,,Horta de Sant Joan,TARRAGONA,Active
ABRIL,19/04/2026,Cursa de les Roques JUVENIL I CADET,https://aecaranordblog.wordpress.com/,"9,3km D+500m",9.3,500,,Horta de Sant Joan,TARRAGONA,Active
ABRIL,19/04/2026,Cursa de la Nòria,https://cursadelanoria.weebly.com/,10km D+25m,10,25,,Torrelameu,LLEIDA,Active
ABRIL,19/04/2026,Cursa de la Nòria,https://cursadelanoria.weebly.com/,5km D+25m,5,25,,Torrelameu,LLEIDA,Active
ABRIL,19/04/2026,Selva Trail,https://www.aritjol.org/,22km D+1200m,22,1200,,La Selva del Camp,TARRAGONA,Active
ABRIL,19/04/2026,Selva Trail,https://www.aritjol.org/,14km D+700m,14,700,,La Selva del Camp,TARRAGONA,Active
ABRIL,19/04/2026,Selva Trail,https://www.aritjol.org/,9km D+250m,9,250,,La Selva del Camp,TARRAGONA,Active
ABRIL,19/04/2026,L'Esgarrinxada,https://www.instagram.com/trailesgarrinxada,22km D+1000m,22,1000,,Vilanova de l'Aguda,LLEIDA,Active
ABRIL,19/04/2026,L'Esgarrinxada,https://www.instagram.com/trailesgarrinxada,12km D+500m,12,500,,Vilanova de l'Aguda,LLEIDA,Active
ABRIL,19/04/2026,Cursa de la Mata,https://curses.cat/lamata2026/,16km D+750m,16,750,,Garriguella,GIRONA,Active
ABRIL,19/04/2026,Cursa de la Mata,https://curses.cat/lamata2026/,11km D+375m,11,375,,Garriguella,GIRONA,Active
ABRIL,19/04/2026,Bacanal de Rupià,https://curses.cat/bacanal2026/,14km,14,,,Rupià,GIRONA,Active
ABRIL,19/04/2026,Bacanal de Rupià,https://curses.cat/bacanal2026/,8km,8,,,Rupià,GIRONA,Active
ABRIL,19/04/2026,Jurasic Trail Race,https://sportmaniacs.com/es/services/inscription/3ordm-jurasic-trail-race-2026,17km D+700m,17,700,,La Torre de Claramunt,BARCELONA,Active
ABRIL,19/04/2026,Jurasic Trail Race,https://sportmaniacs.com/es/services/inscription/3ordm-jurasic-trail-race-2026,8km D+300m,8,300,,La Torre de Claramunt,BARCELONA,Active
ABRIL,19/04/2026,Puigdefrou Exhaust,https://exhaust.lacelleradeter.cat/,18km D+900m,18,900,18€,La Cellera de Ter,GIRONA,Active
ABRIL,19/04/2026,Cursa del Pinxo,https://inscripcions.cat/cursadelpinxoasac2026/,19km,19,,,Cassà de la Selva,GIRONA,Active
ABRIL,25/04/2026,Trail Vall de Ribes,https://www.trailvallderibes.com/es/,42km D+3400m,42,3400,,Ribes de Freser,GIRONA,Active
ABRIL,25/04/2026,Trail Vall de Ribes,https://www.trailvallderibes.com/es/,23km D+1900m,23,1900,,Ribes de Freser,GIRONA,Active
ABRIL,25/04/2026,Trail Vall de Ribes,https://www.trailvallderibes.com/es/,16km D+1100m,16,1100,,Ribes de Freser,GIRONA,Active
ABRIL,25/04/2026,Cursa Medijocs,https://medijocs.comb.cat/cursaatletica.htm,8km,8,,,Sant Cugat del Vallès,BARCELONA,Active
ABRIL,25/04/2026,La Mata-Sants,https://www.circuitfer.cat/,20km D+900m,20,900,,Castellbò,LLEIDA,Active
ABRIL,25/04/2026,Trenkacames,https://ceer.web.app/,7km D+240m,7,240,,Rosselló,LLEIDA,Active
ABRIL,25/04/2026,Castarun,https://www.castarun.com/,10km,10,,,Sant Joan Despí,BARCELONA,Active
ABRIL,25/04/2026,Castarun,https://www.castarun.com/,5km,5,,,Sant Joan Despí,BARCELONA,Active
ABRIL,26/04/2026,Marató Vies Verdes,http://www.maratonviasverdes.com/,42km,42,,,Girona,GIRONA,Active
ABRIL,26/04/2026,Marató Vies Verdes,http://www.maratonviasverdes.com/,30km,30,,,Cassà de la Selva,GIRONA,Active
ABRIL,26/04/2026,Marató Vies Verdes,http://www.maratonviasverdes.com/,21km,21,,,Llagostera,GIRONA,Active
ABRIL,26/04/2026,Marató Vies Verdes,http://www.maratonviasverdes.com/,10km,10,,,Santa Cristina d'Aro,GIRONA,Active
ABRIL,26/04/2026,Trail Pobla de Montornés,https://trailpoblamontornes.webnode.cat/,"11,2km D+252m",11.2,252,,La Pobla de Montornés,BARCELONA,Active
ABRIL,26/04/2026,Trail Pobla de Montornés,https://trailpoblamontornes.webnode.cat/,"6,2km D+105m",6.2,105,,La Pobla de Montornés,BARCELONA,Active
ABRIL,26/04/2026,Cursa de muntanya de Rubí,https://cursamuntanyarubi.weebly.com/,"17,3km D+520m",17.3,520,,Rubí,BARCELONA,Active
ABRIL,26/04/2026,Cursa de muntanya de Rubí,https://cursamuntanyarubi.weebly.com/,"10,2km D+280m",10.2,280,,Rubí,BARCELONA,Active
ABRIL,26/04/2026,Trail 3 Comarques Alpens,https://trail3comarques.com/,"24,5km D+1200m",24.5,1200,,Alpens,BARCELONA,Active
ABRIL,26/04/2026,Trail 3 Comarques Alpens,https://trail3comarques.com/,"12,5km D+500m",12.5,500,,Alpens,BARCELONA,Active
ABRIL,26/04/2026,Un tomb pel Montsant,http://untombpelmontsant.com/,24km D+1229m,24,1229,,Cornudella de Monsant,TARRAGONA,Active
ABRIL,26/04/2026,Un tomb pel Montsant,http://untombpelmontsant.com/,"11,6km D+528m",11.6,528,,Cornudella de Monsant,TARRAGONA,Active
ABRIL,26/04/2026,Cursa dels Senglars,https://cursadelssenglars.bescanocorre.cat/,23km D+1000m,23,1000,,Bescanó,GIRONA,Active
ABRIL,26/04/2026,Cursa dels Senglars,https://cursadelssenglars.bescanocorre.cat/,13km D+600m,13,600,,Bescanó,GIRONA,Active
ABRIL,26/04/2026,Trail del Senglar CABRILS,https://traildelsenglar.com/cabrils/,21km D+1100m,21,1100,,Cabrils,BARCELONA,Active
ABRIL,26/04/2026,Trail del Senglar CABRILS,https://traildelsenglar.com/cabrils/,15km D+800m,15,800,,Cabrils,BARCELONA,Active
ABRIL,26/04/2026,Trail del Senglar CABRILS,https://traildelsenglar.com/cabrils/,10km D+600m,10,600,,Cabrils,BARCELONA,Active
ABRIL,26/04/2026,Cursa de Muntanya Sant Martí Vell,https://www.curses.cat/cursagavarres2026/,20km D+850m,20,850,,Sant Martí Vell,GIRONA,Active
ABRIL,26/04/2026,L'Aleixar Trail,https://webtretzesports.wixsite.com/aleixartrail,"12,5km D+600m",12.5,600,,L'Aleixar,TARRAGONA,Active
ABRIL,26/04/2026,L'Aleixar Trail,https://webtretzesports.wixsite.com/aleixartrail,"8,7km D+350m",8.7,350,,L'Aleixar,TARRAGONA,Active
ABRIL,26/04/2026,Cursa La Talaia,https://cursalatalaia.blogspot.com/,18km,18,,,Vilanova i la Geltrú,BARCELONA,Active
ABRIL,26/04/2026,Cursa La Talaia,https://cursalatalaia.blogspot.com/,9km,9,,,Vilanova i la Geltrú,BARCELONA,Active
ABRIL,25/04/2026,Trenkacames,https://ceer.web.app/,14km D+480m,14,480,,Rosselló,LLEIDA,Active
ABRIL,,Trail Solidària Serramarina Alella,https://gesport.cat/5a-trail-solidaria-serramarina-alella/,21km,21,,,Alella,BARCELONA,TBD
ABRIL,,Trail Solidària Serramarina Alella,https://gesport.cat/3a-trail-solidaria-serramarina-alella/,12km,12,,,Alella,BARCELONA,TBD
ABRIL,,Cursa del NAT'S,https://www.nats.cat/noticies/118-10-cursa,"11,5km D+250m",11.5,250,,Sant Fruitós de Bages,BARCELONA,TBD
ABRIL,,Cursa del NAT'S,https://www.nats.cat/noticies/118-10-cursa,"7,5km",7.5,,,Sant Fruitós de Bages,BARCELONA,TBD
ABRIL,,Cursa de les Aixetes,https://cursadelesaixetes.com/,"23,8km D+950m",23.8,950,,Sant Feliu de Llobregat,BARCELONA,Cancelled
ABRIL,,Cursa de les Aixetes,https://cursadelesaixetes.com/,11km D+350m,11,350,,Sant Feliu de Llobregat,BARCELONA,Cancelled
ABRIL,,Mitja Desvern,https://mitjadesvern.cat/,21km D+795m,21,795,,Sant Just Desvern,BARCELONA,Cancelled
ABRIL,,Mitja Desvern,https://mitjadesvern.cat/,15km D+514m,15,514,,Sant Just Desvern,BARCELONA,Cancelled
ABRIL,,Mitja Desvern,https://mitjadesvern.cat/,8km D+295m,8,295,,Sant Just Desvern,BARCELONA,Cancelled
MAIG,02/05/2026,Trail Tros Guimerà,https://viuguimera.cat/trail-tros-guimera-informacio,22km D+600m,22,600,25€,Guimerà,LLEIDA,Active
MAIG,02/05/2026,Trail Tros Guimerà,https://viuguimera.cat/trail-tros-guimera-informacio,12km D+350m,12,350,16€,Guimerà,LLEIDA,Active
MAIG,09/05/2026,Skyrace Pic de l'Orri,https://www.skyracepicdelorri.com/,51km D+3743m,51,3743,62€,Vilamur,LLEIDA,Active
MAIG,09/05/2026,Skyrace Pic de l'Orri,https://www.skyracepicdelorri.com/,26km D+1623m,26,1623,37€,Vilamur,LLEIDA,Active
MAIG,09/05/2026,Skyrace Pic de l'Orri,https://www.skyracepicdelorri.com/,10km D+650m,10,650,15€,Vilamur,LLEIDA,Active
MAIG,17/05/2026,Trail Pujada al Ros,https://www.pujadaalros.cat/,21km D+950m,21,950,19€,Viladecavalls,BARCELONA,Active
MAIG,17/05/2026,Trail Pujada al Ros,https://www.pujadaalros.cat/,11km D+300m,11,300,11€,Viladecavalls,BARCELONA,Active
MAIG,30/05/2026,La Cabanera,https://cabanera.cat/,28km D+2000m,28,2000,45€,Torre de Capdella,LLEIDA,Active
MAIG,30/05/2026,La Cabanera,https://cabanera.cat/,23km D+1125m,23,1125,30€,Torre de Capdella,LLEIDA,Active
MAIG,30/05/2026,La Cabanera,https://cabanera.cat/,12km D+570m,12,570,20€,Torre de Capdella,LLEIDA,Active
MAIG,01/05/2026,Cursa de la Moixina,https://www.instagram.com/cursadelamoixina/,10km D+250m,10,250,,Olot,GIRONA,Active
MAIG,01/05/2026,Cursa de fons Les Tortugues,https://www.lestortugues.cat/cursa-1-de-maig/,14km,14,,,La Garriga,BARCELONA,Active
MAIG,01/05/2026,Cursa de fons Les Tortugues,https://www.lestortugues.cat/cursa-1-de-maig/,7km,7,,,La Garriga,BARCELONA,Active
